"Períodos";"Indicadores";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaiba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Lider";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"Jaçanã";"José Bonifácio (distrito da capital)";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira (distrito da capital)";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro (distrito da capital)";"Tatuapé";"Tremembé (distrito da capital)";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Cód. IBGE"
"2020";"População Masculina";"38284";"18571";"41655";"40676";"47088";"7346";"34999";"23765";"18906";"16422";"135036";"25416";"70186";"18942";"29342";"49860";"109698";"65569";"141683";"39745";"40019";"135951";"97128";"65319";"112601";"26094";"53107";"57236";"66015";"189385";"53085";"73522";"52425";"44721";"113077";"101144";"107742";"11390";"26493";"102588";"164442";"65973";"40999";"141372";"45539";"64535";"84886";"31067";"33855";"37240";"51203";"4253";"40929";"37832";"24776";"75191";"9084";"34861";"77939";"60217";"52608";"43618";"29796";"81441";"42320";"51019";"31010";"59302";"125666";"41348";"50662";"34737";"41139";"67680";"75078";"42631";"78252";"139351";"61337";"13131";"16784";"44315";"107738";"44465";"79931";"74147";"44273";"26766";"70365";"22390";"54578";"60271";"49717";"58013";"49292";"57856";-
"2020";"População Masculina de 0 a 4 Anos";"2220";"798";"3065";"2489";"2943";"484";"2001";"1901";"1420";"1301";"11701";"1321";"5522";"1221";"1602";"2828";"8121";"4687";"11246";"2142";"2703";"10547";"6951";"4559";"9237";"1195";"3175";"4094";"4310";"15540";"4333";"6135";"3154";"2349";"8866";"7432";"7088";"674";"1757";"7952";"13434";"5623";"2066";"10652";"2988";"4212";"6991";"1604";"1939";"2753";"3055";"273";"1922";"2150";"1725";"6542";"734";"2503";"5622";"3649";"2545";"3655";"1454";"5349";"2661";"4011";"1699";"4679";"8030";"2370";"2909";"1731";"2570";"3921";"5311";"3499";"5629";"9925";"3100";"1064";"965";"2310";"8204";"2415";"5450";"5433";"2504";"1823";"4663";"1147";"4063";"3019";"2948";"4013";"2807";"3962";-
"2020";"População Masculina de 5 a 9 Anos";"2437";"881";"2929";"2631";"3118";"539";"2157";"2179";"1567";"1500";"11930";"1441";"5814";"1341";"1798";"3119";"8411";"4920";"11516";"2318";"2912";"10964";"7243";"4707";"8999";"1148";"3513";"4263";"4591";"15803";"4365";"6049";"3447";"2716";"8963";"7737";"7647";"731";"1891";"8061";"13825";"5692";"2247";"11072";"3075";"4347";"7032";"1803";"2180";"2950";"3247";"256";"2164";"2378";"1870";"6451";"797";"2630";"5660";"3926";"2743";"3686";"1632";"5690";"2811";"4264";"1916";"5102";"8459";"2585";"3152";"1946";"2727";"4076";"5581";"3678";"5668";"10295";"3512";"1213";"1059";"2502";"8364";"2585";"5439";"5452";"2606";"2036";"4645";"1290";"4306";"3251";"3125";"4267";"2996";"4280";-
"2020";"População Masculina de 10 a 14 Anos";"1905";"830";"2804";"2322";"2777";"365";"1370";"1304";"1099";"864";"9174";"1188";"4680";"1142";"1517";"2931";"7567";"3923";"9730";"2052";"2259";"8763";"6054";"4147";"8189";"838";"3026";"3737";"3598";"13212";"3639";"5222";"2898";"2148";"7642";"6541";"6436";"598";"1690";"6854";"12274";"4533";"1729";"9198";"2966";"4466";"6067";"1598";"1592";"2163";"2741";"273";"1990";"1912";"1374";"5317";"539";"2313";"5391";"3235";"2466";"2919";"1386";"4938";"2508";"3317";"1191";"3359";"7859";"1877";"2335";"1693";"2526";"3921";"4655";"2555";"5587";"8902";"2863";"580";"831";"2045";"6826";"2242";"5593";"4947";"2413";"1470";"4872";"1263";"3304";"2506";"2809";"3484";"2620";"3439";-
"2020";"População Masculina de 15 a 19 Anos";"1991";"879";"3291";"2598";"3008";"371";"1292";"1230";"1133";"893";"10551";"1185";"5214";"1124";"1434";"3034";"7976";"4389";"10741";"2244";"2428";"9700";"6845";"4547";"9892";"823";"3041";"4065";"3977";"15137";"4180";"5939";"3062";"1780";"8875";"7376";"6807";"659";"1787";"8081";"13672";"5012";"1510";"10400";"3257";"4889";"6605";"1545";"1514";"2285";"2990";"363";"1808";"1913";"1479";"6188";"559";"2636";"5873";"3574";"2494";"3344";"1262";"5265";"2768";"3793";"1171";"3849";"8332";"1822";"2489";"1817";"2649";"4187";"5265";"2895";"6604";"10077";"2757";"725";"988";"2445";"7806";"2372";"6188";"5748";"2576";"1664";"5329";"1183";"3765";"2562";"3038";"3720";"2710";"3629";-
"2020";"População Masculina de 20 a 24 Anos";"2473";"1067";"4207";"3173";"3693";"406";"1442";"1335";"1274";"1015";"12549";"1338";"6029";"1216";"1558";"3504";"9611";"5433";"12683";"2808";"2807";"11377";"8371";"5533";"11473";"1024";"3498";"4896";"5093";"18123";"4911";"7208";"3553";"1872";"10970";"8982";"8201";"737";"1953";"9823";"15742";"6222";"1674";"12393";"3896";"5785";"8268";"1668";"1755";"2794";"3771";"459";"1981";"2208";"1782";"7581";"605";"2983";"7364";"4237";"2649";"4096";"1346";"6302";"3451";"4208";"1267";"4298";"9699";"2108";"3097";"2157";"3149";"4853";"6421";"3589";"7490";"11956";"3096";"849";"1089";"2892";"9449";"2864";"6989";"7140";"3278";"1786";"6522";"1371";"4181";"2786";"3753";"4415";"3302";"4225";-
"2020";"População Masculina de 25 a 29 Anos";"2574";"1235";"3883";"3057";"3602";"493";"1844";"1427";"1401";"1168";"11335";"1561";"5779";"1224";"1645";"3483";"8721";"5248";"11906";"2906";"2779";"11007";"7911";"5331";"10303";"1521";"3562";"4602";"4884";"16426";"4822";"6576";"3654";"2189";"10279";"8390";"7901";"774";"1938";"8816";"13854";"5753";"1949";"11404";"3658";"5111";"7682";"1897";"2160";"2735";"3820";"408";"2129";"2553";"1681";"6684";"685";"2842";"6822";"4414";"3021";"3775";"1471";"6135";"3286";"4072";"1621";"4263";"9779";"2449";"3440";"2193";"3140";"5000";"6066";"3455";"6789";"11454";"3420";"876";"1148";"3065";"9041";"3099";"6513";"6634";"3323";"1722";"6086";"1429";"4273";"3322";"3878";"4381";"3468";"4230";-
"2020";"População Masculina de 30 a 34 Anos";"3076";"1373";"3734";"3392";"3947";"603";"3606";"2109";"1849";"1566";"11466";"2460";"6052";"1460";"2133";"3610";"9513";"5777";"12473";"3222";"3488";"12164";"8426";"5589";"9716";"3184";"4282";"4919";"5580";"16392";"4494";"6173";"4251";"3139";"9856";"8447";"8999";"976";"2319";"8572";"13785";"5604";"3198";"12699";"3957";"5185";"7490";"2381";"3074";"3308";"4350";"358";"2698";"3082";"1762";"6071";"859";"2987";"6973";"5088";"4350";"3785";"2232";"6830";"3594";"4111";"3215";"5024";"10928";"3701";"4071";"2483";"3487";"5836";"6442";"3625";"6375";"12486";"4791";"1277";"1362";"3472";"9042";"3896";"7472";"6256";"3774";"2131";"6409";"1898";"4908";"5138";"4254";"5107";"4416";"4859";-
"2020";"População Masculina de 35 a 39 Anos";"3267";"1357";"3267";"3409";"4255";"724";"4615";"2438";"1840";"1684";"11068";"2727";"5930";"1703";"2478";"4054";"9662";"5491";"12387";"3258";"3518";"11928";"8128";"5643";"9335";"3170";"4722";"4823";"5710";"15511";"4262";"5789";"4764";"4519";"9128";"8236";"9612";"1043";"2553";"8381";"13721";"5321";"4314";"12575";"4000";"5803";"6753";"2785";"3726";"3203";"4290";"289";"3574";"3328";"1948";"5677";"818";"3051";"6514";"5339";"5029";"3234";"3144";"7093";"3728";"4426";"3824";"5288";"11540";"4441";"4423";"2918";"3579";"6052";"6371";"3430";"6052";"11745";"5994";"1345";"1424";"3713";"8758";"4011";"7158";"6227";"3740";"2396";"6019";"2136";"5003";"6460";"4313";"5173";"4538";"5146";-
"2020";"População Masculina de 40 a 44 Anos";"3086";"1516";"3059";"3037";"3951";"681";"3896";"2101";"1690";"1463";"9585";"2321";"5342";"1712";"2591";"4264";"9153";"4930";"11055";"3164";"3294";"10910";"7527";"5221";"8086";"2485";"4403";"4337";"5305";"13808";"3906";"5070";"4423";"4916";"8006";"7692";"9144";"957";"2376";"7748";"12383";"4701";"4291";"11511";"3636";"5630";"5867";"2731";"3287";"2928";"4045";"267";"3919";"3222";"1905";"5342";"695";"2584";"5983";"4685";"5095";"3131";"3050";"6476";"3150";"4177";"3355";"4749";"10433";"3878";"3937";"2843";"3211";"5301";"5597";"2876";"5845";"10518";"5857";"1163";"1297";"3531";"8051";"3643";"6605";"5192";"3272";"2193";"5303";"2270";"4230";"5765";"3883";"4352";"4123";"4814";-
"2020";"População Masculina de 45 a 49 Anos";"2778";"1273";"2997";"2824";"3364";"598";"2826";"1710";"1258";"1228";"8515";"1840";"4433";"1474";"2257";"3789";"7887";"4358";"9623";"2894";"2632";"9214";"6646";"4523";"7018";"1924";"3689";"3943";"4422";"12290";"3385";"4581";"3883";"3936";"7071";"7117";"7543";"804";"1953";"6875";"11391";"4183";"3354";"9897";"3071";"4580";"5548";"2342";"2576";"2469";"3774";"224";"3443";"2876";"1738";"4810";"559";"2444";"5260";"4190";"3896";"2978";"2359";"5415";"2749";"3531";"2848";"4026";"8824";"3359";"3465";"2684";"2837";"4671";"5037";"2755";"5512";"9201";"4662";"1178";"1226";"3279";"7297";"3117";"6068";"5005";"2943";"1963";"4680";"2104";"3680";"4400";"3363";"3736";"3337";"4079";-
"2020";"População Masculina de 50 a 54 Anos";"2435";"1229";"2925";"2739";"2807";"452";"2341";"1353";"1096";"997";"7808";"1618";"4131";"1271";"2051";"3674";"6524";"4090";"8284";"2677";"2428";"8029";"6053";"3941";"5944";"1639";"3500";"3630";"4147";"11143";"3037";"4434";"3456";"2986";"6572";"6309";"7030";"709";"1644";"6121";"9555";"3863";"2848";"8428";"2674";"3778";"4792";"2135";"2262";"2292";"3639";"265";"2918";"2737";"1672";"4357";"568";"2142";"4738";"3966";"3578";"2710";"2046";"5289";"2707";"3065";"2469";"3774";"8085";"2969";"3376";"2432";"2772";"4353";"4594";"2611";"4937";"8246";"4353";"922";"1084";"3237";"6621";"2896";"4869";"4439";"2862";"1697";"4286";"1629";"3207";"3924";"3228";"3378";"3200";"3650";-
"2020";"População Masculina de 55 a 59 Anos";"2613";"1391";"2127";"2381";"2661";"398";"2046";"1302";"914";"824";"6144";"1541";"3437";"1108";"1961";"3376";"5077";"3668";"6259";"2679";"2352";"6345";"4992";"3394";"4757";"1758";"3378";"2956";"4031";"8775";"2452";"3507";"3230";"2868";"5460";"5183";"6274";"693";"1373";"5049";"6858";"3009";"2666";"6552";"2359";"3027";"3776";"2187";"1962";"2040";"3299";"226";"2863";"2525";"1535";"3363";"453";"1641";"3745";"3758";"3442";"2097";"2019";"4791";"2435";"2384";"1978";"3249";"6972";"2680";"3501";"2494";"2473";"4420";"4018";"2283";"3889";"7299";"4118";"682";"1111";"3311";"5611";"2825";"3969";"3658";"2952";"1531";"3724";"1456";"2779";"4016";"3087";"3266";"3210";"3170";-
"2020";"População Masculina de 60 a 64 Anos";"2367";"1236";"1507";"2163";"2207";"394";"1733";"1107";"812";"707";"5004";"1404";"2999";"949";"1771";"2848";"4359";"3103";"5103";"2329";"2117";"5259";"4213";"2943";"3981";"1585";"3087";"2465";"3673";"6844";"1998";"2726";"2779";"2658";"4400";"4223";"5173";"635";"1077";"4097";"5458";"2387";"2467";"5521";"2078";"2599";"3133";"1978";"1831";"1812";"2826";"216";"2700";"2242";"1299";"2740";"386";"1448";"3093";"3278";"3424";"1624";"1811";"4159";"2243";"1932";"1606";"2656";"5989";"2243";"3266";"2149";"2067";"3651";"3423";"1904";"2943";"6236";"3972";"503";"973";"2774";"4606";"2671";"3069";"2915";"2675";"1434";"3017";"1125";"2397";"3827";"2648";"2866";"2787";"2763";-
"2020";"População Masculina de 65 a 69 Anos";"1834";"1128";"955";"1635";"1832";"309";"1442";"907";"617";"497";"3557";"1204";"2060";"740";"1561";"2126";"3137";"2258";"3868";"1829";"1638";"4056";"3250";"2291";"2859";"1242";"2339";"1933";"2701";"4931";"1497";"1970";"2236";"2334";"3133";"3129";"3983";"525";"832";"2845";"3976";"1763";"2108";"4018";"1566";"2272";"2220";"1543";"1458";"1396";"2067";"166";"2453";"1786";"1050";"1920";"277";"1129";"2196";"2522";"2927";"1156";"1592";"3144";"1690";"1569";"1166";"2016";"4431";"1823";"2712";"1803";"1517";"2792";"2597";"1359";"2122";"4730";"3251";"331";"786";"2175";"3412";"2197";"1982";"2124";"2048";"1115";"2183";"828";"1796";"3346";"2080";"2246";"2187";"2137";-
"2020";"População Masculina de 70 a 74 Anos";"1326";"882";"535";"1231";"1324";"232";"1051";"589";"397";"366";"2355";"929";"1342";"518";"1175";"1453";"2056";"1545";"2576";"1356";"1149";"2875";"2295";"1537";"1605";"1038";"1675";"1305";"1840";"3076";"957";"1170";"1548";"1818";"2027";"2164";"2581";"393";"582";"1789";"2501";"1181";"1900";"2610";"1110";"1600";"1415";"1129";"1147";"993";"1451";"108";"1975";"1174";"825";"1168";"235";"811";"1469";"1909";"2241";"747";"1218";"2139";"1161";"1107";"789";"1393";"2915";"1330";"1960";"1384";"1137";"1972";"1776";"953";"1402";"3139";"2327";"197";"600";"1501";"2261";"1509";"1295";"1445";"1409";"760";"1332";"556";"1159";"2635";"1424";"1551";"1579";"1549";-
